ëÂéöñº,ëçåÀêî,ì|âÛåÀêî,î≠âŒåÀêî,è¡é~åÀêî,îºèƒåÀêî,èƒé∏åÀêî,èZëÓì|âÛó¶,èoâŒó¶,è¡é~ó¶,îºèƒó¶,èƒé∏ó¶,êlå˚ëçêî,éÄñSé“êî,ïâèùé“êî,éÄñSó¶,ïâèùó¶,ìTãí,X,Y,ífëwãóó£
ãTéR,66,30,0,0,0,0,45.45,0,0,0,0,327,10,5,3.06,1.53,âi‡_(1929),135.1123914,35.52594583,1046.507
âúín,27,8,0,0,0,0,29.63,0,0,0,0,133,3,4,2.26,3.01,âi‡_(1929),135.1260888,35.5231279,2075.787
âúéR,47,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,âi‡_(1929),135.1501344,35.5238074,3126.751
ñ{ë∫,325,280,6,0,1,6,86.15,1.85,0,0.31,1.85,1607,12,49,0.75,3.05,âi‡_(1929),135.1253985,35.5314373,1183.672
ì∞íJ,25,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,âi‡_(1929),135.1357549,35.54502164,569.7574
çÅâÕ,71,4,0,0,0,0,5.63,0,0,0,0,350,1,2,0.29,0.57,âi‡_(1929),135.1342967,35.50281088,4288.222
ñæêŒ,179,125,3,1,0,2,69.83,1.68,0.56,0,1.12,857,15,37,1.75,4.32,âi‡_(1929),135.1074547,35.51106195,2406.096
â∑ç],135,7,0,0,0,0,5.19,0,0,0,0,660,0,3,0,0.45,âi‡_(1929),135.1111126,35.49562289,4153.747
å„ñÏ,207,63,0,0,0,0,30.43,0,0,0,0,1267,8,20,0.63,1.58,âi‡_(1929),135.0926418,35.49678229,3909.577
â¡âx,182,49,1,1,0,0,26.92,0.55,0.55,0,0,1019,5,24,0.49,2.36,âi‡_(1929),135.092773,35.50372695,3164.992
â¡âxâú,189,4,0,0,0,0,2.12,0,0,0,0,1097,0,0,0,0,âi‡_(1929),135.07117,35.506037,2979.961
éZèä,150,76,14,0,0,14,50.67,9.33,0,0,9.33,870,19,63,2.18,7.24,âi‡_(1929),135.0943925,35.50981184,2571.385
éOâÕì‡,357,198,13,1,1,67,55.46,3.64,0.28,0.28,18.77,1940,55,128,2.84,6.6,âi‡_(1929),135.0939905,35.51687584,1839.644
ä‚âÆ,297,158,6,3,0,3,53.2,2.02,1.01,0,1.01,1772,16,44,0.9,2.48,âi‡_(1929),135.0747016,35.52818534,813.4085
äÙín,184,170,16,1,0,68,92.39,8.7,0.54,0,36.96,799,94,151,11.76,18.9,âi‡_(1929),135.0905616,35.53364578,334.067
élí“,191,186,22,0,0,114,97.38,11.52,0,0,59.69,859,107,199,12.46,23.17,âi‡_(1929),135.0994549,35.52930109,436.3458
è„éRìc,195,187,11,1,0,43,95.9,5.64,0.51,0,22.05,1061,88,121,8.29,11.4,âi‡_(1929),135.1130923,35.53779937,223.6737
â∫éRìc,182,138,10,1,0,29,75.82,5.49,0.55,0,15.93,989,53,86,5.36,8.7,âi‡_(1929),135.1271967,35.54517102,168.4097
êŒìc,89,49,0,0,0,0,55.06,0,0,0,0,419,12,13,2.86,3.1,âi‡_(1929),135.1380495,35.55486594,1195.528
ã|ñÿ,162,44,2,0,0,3,27.16,1.23,0,0,1.85,764,6,13,0.79,1.7,âi‡_(1929),135.1460968,35.56289815,827.8043
ä‚ëÍ,449,234,17,2,0,38,52.12,3.79,0.45,0,8.46,2120,65,98,3.07,4.62,âi‡_(1929),135.1531221,35.56637337,470.331
íjéR,149,30,2,1,0,1,20.13,1.34,0.67,0,0.67,703,10,22,1.42,3.13,âi‡_(1929),135.1621411,35.57428406,650.1299
ãgå¥ÅEélå¨,67,66,3,0,1,26,98.51,4.48,0,1.49,38.81,313,61,45,19.49,14.38,âi‡_(1929),135.0561149,35.63157287,17.17588
ïsíf,43,43,0,0,0,41,100,0,0,0,95.35,173,45,18,26.01,10.4,âi‡_(1929),135.056214,35.629126,160.6221
è„,51,51,0,0,0,51,100,0,0,0,100,231,57,31,24.68,13.42,âi‡_(1929),135.0563173,35.62777706,258.1385
êDå≥,55,55,0,0,0,55,100,0,0,0,100,181,67,33,37.02,18.23,âi‡_(1929),135.0562559,35.62666948,207.4485
é∫,31,31,0,0,0,31,100,0,0,0,100,165,39,23,23.64,13.94,âi‡_(1929),135.0571885,35.62612477,285.6333
å‡ïû,35,35,0,0,0,35,100,0,0,0,100,226,99,15,43.81,6.64,âi‡_(1929),135.0581044,35.62481291,376.6007
òQâ‘,64,64,0,0,0,64,100,0,0,0,100,368,94,64,25.54,17.39,âi‡_(1929),135.0581379,35.62388233,383.2583
îíã‚,48,48,0,0,0,48,100,0,0,0,100,259,84,11,32.43,4.25,âi‡_(1929),135.0589812,35.62324908,465.7996
êÚ,129,123,0,0,0,114,95.35,0,0,0,88.37,638,157,38,24.61,5.96,âi‡_(1929),135.0612373,35.61984896,725.2569
åıñæéõ,15,15,4,0,0,5,100,26.67,0,0,33.33,49,6,4,12.24,8.16,âi‡_(1929),135.0612541,35.61787873,680.9478
å‰ó∑,88,88,0,0,0,88,100,0,0,0,100,365,102,47,27.95,12.88,âi‡_(1929),135.0583948,35.62246375,422.081
à¿(ïÙéR),41,41,4,0,0,41,100,9.76,0,0,100,131,27,32,20.61,24.43,âi‡_(1929),135.055005,35.62318326,109.2059
ïxãMâÆ,52,52,4,0,0,51,100,7.69,0,0,98.08,201,49,22,24.38,10.95,âi‡_(1929),135.0573728,35.624536,311.7694
ç‰,93,93,3,0,0,92,100,3.23,0,0,98.92,326,80,34,24.54,10.43,âi‡_(1929),135.0560716,35.62438621,194.5227
å√ìa,48,48,2,0,0,16,100,4.17,0,0,33.33,188,13,23,6.91,12.23,âi‡_(1929),135.0551334,35.62534401,106.2626
êôíJ,175,153,4,0,1,91,87.43,2.29,0,0.57,52,770,123,90,15.97,11.69,âi‡_(1929),135.0655318,35.62666268,39.88549
è¨êº,28,9,1,0,0,1,32.14,3.57,0,0,3.57,152,1,10,0.66,6.58,âi‡_(1929),135.0278056,35.61275318,1997.826
êºéR,29,26,0,0,0,0,89.66,0,0,0,0,177,14,15,7.91,8.47,âi‡_(1929),135.0325552,35.61763358,1435.915
à¿(ãgå¥),100,72,8,0,1,21,72,8,0,1,21,547,70,45,12.8,8.23,âi‡_(1929),135.0503307,35.62262036,171.833
è„êõ,31,31,10,0,0,10,100,32.26,0,0,32.26,156,24,15,15.38,9.62,âi‡_(1929),135.0580318,35.60927316,117.2582
â∫êõ,70,59,7,0,0,7,84.29,10,0,0,10,359,39,10,10.86,2.79,âi‡_(1929),135.0649287,35.61395515,660.6426
êVé°,126,119,17,1,0,26,94.44,13.49,0.79,0,20.63,694,69,105,9.94,15.13,âi‡_(1929),135.0493395,35.60824932,457.4861
ìÒâ”,85,42,1,0,0,1,49.41,1.18,0,0,1.18,393,13,43,3.31,10.94,âi‡_(1929),135.0425027,35.59367589,1331.088
å‹â”,151,23,0,0,0,0,15.23,0,0,0,0,742,0,24,0,3.23,âi‡_(1929),135.0365719,35.58695701,2215.983
ãvéü,62,7,0,0,0,0,11.29,0,0,0,0,309,0,3,0,0.97,âi‡_(1929),135.0318167,35.59104654,2314.457
ñêóØ,138,4,0,0,0,0,2.9,0,0,0,0,674,0,21,0,3.12,âi‡_(1929),135.023211,35.57994688,3641.645
í∑â™,148,144,0,0,2,21,97.3,0,0,1.35,14.19,668,46,75,6.89,11.23,âi‡_(1929),135.0656923,35.60049865,106.8598
ëPâ§éõ,114,64,2,0,2,4,56.14,1.75,0,1.75,3.51,648,20,40,3.09,6.17,âi‡_(1929),135.0766575,35.59341251,447.0169
å˚ëÂñÏ,344,188,5,1,0,39,54.65,1.45,0.29,0,11.34,1756,50,129,2.85,7.35,âi‡_(1929),135.0925148,35.58285819,1149.263
âúëÂñÏ,182,94,7,1,0,18,51.65,3.85,0.55,0,9.89,998,47,108,4.71,10.82,âi‡_(1929),135.0861847,35.56720808,334.5424
